Der Aufschluß 1 / 50,Detlef Cornelius,Das Rheingold,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Der Aufschluss\Der Aufschluss als pdf\Der Aufschluss 1950 07 300.pdf
Der Aufschluß 1 / 50,Franz Ettig,Nordsächsische Schmucksteine aus dilluvialen Schottern,,
Der Aufschluß 2 / 50,Walter Fischer,Ultraschallquarze,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Der Aufschluss\Der Aufschluss als pdf\Der Aufschluss 1950 08 300.pdf
Der Aufschluß 2 / 50,Detlef Cornelius,In den Blei- und Silbergruben des Osttaunus,,
Der Aufschluß 2 / 50,Heinrich Werner,Das Boracit - Vorkommen im Salzstock von Wathlingen - Hänigsen,,
Der Aufschluß 2 / 50,A. Haas,Eine Exkursion auf und in den Roßberg,,
Der Aufschluß 3 / 50,Rudolf Herre,"Ein neuer, einzigartiger Fund von schleifwürdigem Rauchqaurz und citrinartigem Quarz im Chemnitztal",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Der Aufschluss\Der Aufschluss als pdf\Der Aufschluss 1950 09 300.pdf
Der Aufschluß 3 / 50,Walter Fischer,Ultraschallquarze II,,
Der Aufschluß 3 / 50,K. Obenauer,Die Vergütung vonSchmucksteinen im Lichte der deutschen Patentliteratur,,
Der Aufschluß 3 / 50,Walter Fischer,Abraham Gottlob Werner I,,
Der Aufschluß 3 / 50,Heinrich Werner,Große Wollastonitkristalle von Auerbach,,
Der Aufschluß 3 / 50,Franz Ettig,Die sächsischen Schmucksteinvorkommen,,
Der Aufschluß 3 / 50,Detlef Cornelius,Kupfer- Nickel und Kobalterze aus dem Richelsdorfer Revier,,
Der Aufschluß 3 / 50,Hans Gruß,Phosphate aus Hagendorf,,
Der Aufschluß 3 / 50,Otto Lorz,Calcit von Eichstätt,,
Der Aufschluß 4 / 50,Walter Fischer,Ultraschallquarze III,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Der Aufschluss\Der Aufschluss als pdf\Der Aufschluss 1950 10 300.pdf
Der Aufschluß 4 / 50,K.H. Müller,Das geologische Museum in London,,
Der Aufschluß 4 / 50,Walter Fischer,Abraham Gottlob Werner II,,
Der Aufschluß 5 / 50,K.O. Fröhlich,Neue Erkenntnisse über die Lebensweise der graphtolithen,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Der Aufschluss\Der Aufschluss als pdf\Der Aufschluss 1950 11 300.pdf
Der Aufschluß 5 / 50,W. Lieber,Was sind Pseudomorphosen ?,,
Der Aufschluß 5 / 50,Heinrich Werner,Ei mineralogischer Rundgang durch den Westharz,,
Der Aufschluß 5 / 50,W. Lieber,Einige Fundstellen in Baden,,
Der Aufschluß 5 / 50,Konrad Olf,Zur Geologie des Donnersberggebietes bei Imsbach,,
Der Aufschluß 5 / 50,H. Pöllmann,Aus dem Fichtelgebirge,,
